form	pos	lemma
sagen	VRB(finiteness=fin,tense=past)	zagen
ende	CONJ(type=coor)	en
wat	ADV(type=reg)	wat
meer	PD(type=indef,position=free)	meer
seggen	VRB(finiteness=inf)	zeggen
en	ADV(type=reg)	ne
wisten	VRB(finiteness=fin,tense=past)	weten
soe	ADV(type=reg)	zo
daden	VRB(finiteness=fin,tense=past)	doen
sy	PD(type=pers,position=free)	zij
bringen	VRB(finiteness=inf)	brengen
enen	PD(type=indef,subtype=art,position=prenom)	een
cop	NOU-C(number=sg)	kop
vol	AA(degree=pos,position=free)	vol
stercx	AA(degree=pos,position=prenom)	sterk
venijns	NOU-C(number=sg)	venijn
ende	CONJ(type=coor)	en
seiden	VRB(finiteness=fin,tense=past)	zeggen
Oft	CONJ(type=sub)	of
dijn	PD(type=poss,position=prenom)	dijn
God	NOU-P	God
goet	AA(degree=pos,position=free)	goed
es	VRB(finiteness=fin,tense=pres)	zijn
ende	CONJ(type=coor)	en
gherecht	VRB(finiteness=pastpart)	rechten
soe	ADV(type=reg)	zo
drinc	VRB(finiteness=fin,tense=pres)	drinken
desen	PD(type=d-p,subtype=oth,position=prenom)	deze
cop	NOU-C(number=sg)	kop
Sidrac	NOU-P	Sidrac
nam	VRB(finiteness=fin,tense=past)	nemen
den	PD(type=d-p,subtype=art,position=prenom)	de
cop	NOU-C(number=sg)	kop
in	ADP(type=pre)	in
sijn	PD(type=poss,position=prenom)	zijn
hant	NOU-C(number=sg)	hand
ende	CONJ(type=coor)	en
seide	VRB(finiteness=fin,tense=past)	zeggen
Ik	PD(type=pers,position=free)	ik
drincke	VRB(finiteness=fin,tense=pres)	drinken
dezen	PD(type=d-p,subtype=oth,position=prenom)	deze
cop	NOU-C(number=sg)	kop
vol	AA(degree=pos,position=free)	vol
van	ADP(type=pre)	van
sterken	AA(degree=pos,position=prenom)	sterk
venine	NOU-C(number=sg)	venijn
inden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
name	NOU-C(number=sg)	naam
tfaders	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	het+fader
ende	CONJ(type=coor)	en
soens	NOU-C(number=sg)	zoens
ende	CONJ(type=coor)	en
tseilichs	PD(type=d-p,subtype=art,position=prenom)+AA(degree=pos,position=prenom)	het+zeilig
geest	NOU-C(number=sg)	geest
mijns	PD(type=poss,position=prenom)	ik
Goids	NOU-C(number=sg)	god
sceppers	NOU-C(number=sg)	schepper
hemelrijcx	NOU-P	Hemelrijk
ende	CONJ(type=coor)	en
erterijcx	ADV(type=reg)	aarderijks
Ende	CONJ(type=coor)	en
doen	ADV(type=reg)	toen
dranc	VRB(finiteness=fin,tense=past)	drinken
hy	PD(type=pers,position=free)	hij
dien	PD(type=d-p,subtype=oth,position=prenom)	dat
cop	NOU-C(number=sg)	kop
ende	CONJ(type=coor)	en
was	VRB(finiteness=fin,tense=past)	zijn
daer	ADV(type=pron)	daar
na	ADV(type=pron)	na
sterker	AA(degree=comp,position=free)	sterk
ende	CONJ(type=coor)	en
ghesonder	AA(degree=pos,position=free)	gezond
dan	CONJ(type=sub)	dan
hy	PD(type=pers,position=free)	hij
te	ADV(type=reg)	te
voren	ADV(type=reg)	voren
was	VRB(finiteness=fin,tense=past)	zijn
ende	CONJ(type=coor)	en
des	ADV(type=reg)	des
wonderde	VRB(finiteness=fin,tense=past)	wonderen
hem	PD(type=pers,position=free)	hij
allen	PD(type=indef,position=free)	al
zere	ADV(type=reg)	zeer
Ende	CONJ(type=coor)	en
die	PD(type=d-p,subtype=art,position=prenom)	die
coninc	NOU-C(number=sg)	koning
hads	VRB(finiteness=fin,tense=past)+PD(type=d-p,position=free)	hebben
grote	AA(degree=pos,position=prenom)	groot
bliscap	NOU-C(number=sg)	blijdschap
ende	CONJ(type=coor)	en
was	VRB(finiteness=fin,tense=past)	zijn
vele	ADV(type=reg)	veel
te	ADV(type=reg)	te
vaster	AA(degree=comp,position=free)	vast
int	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+het
gelove	NOU-C(number=sg)	geloof
Goids	NOU-P	God
van	ADP(type=pre)	van
hemelrike	NOU-C(number=sg)	hemelrijk
Daer	ADV(type=pron)	daar
na	ADV(type=pron)	na
te	ADV(type=reg)	te
hant	ADV(type=reg)	hand
quam	VRB(finiteness=fin,tense=past)	komen
een	PD(type=indef,subtype=art,position=prenom)	een
donder	NOU-C(number=sg)	donder
ende	CONJ(type=coor)	en
een	PD(type=indef,subtype=art,position=prenom)	een
blixeme	NOU-C(number=sg)	bliksem
ende	CONJ(type=coor)	en
cloef	VRB(finiteness=fin,tense=past)	klieven
die	PD(type=d-p,subtype=art,position=prenom)	die
IIII	NUM(type=card,position=prenom,representation=rom)	vier
vroeden	NOU-C(number=pl)	vroed
ende	CONJ(type=coor)	en
sloechse	VRB(finiteness=fin,tense=past)+PD(type=pers,position=free)	slaan+zij
doot	AA(degree=pos,position=free)	dood
Alse	CONJ(type=sub)	als
dit	PD(type=d-p,position=free)	dit
die	PD(type=d-p,subtype=art,position=prenom)	die
ander	NUM(type=ord,position=free,representation=let)	ander
sagen	VRB(finiteness=fin,tense=past)	zagen
begonsten	VRB(finiteness=fin,tense=past)	beginnen
sy	PD(type=pers,position=free)	zij
te	ADP(type=pre)	te
seggene	VRB(finiteness=inf)	zeggen
deen	PD(type=d-p,subtype=art,position=prenom)+NUM(type=card,position=free,representation=let)	de+een
toten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	tot+de
anderen	NUM(type=ord,position=free,representation=let)	ander
En	ADV(type=reg)	ne
ware	VRB(finiteness=fin,tense=past)	zijn
dies	ADV(type=reg)	dies
mans	NOU-C(number=sg)	man
God	NOU-P	God
niet	ADV(type=reg)	niet
goet	AA(degree=pos,position=free)	goed
ende	CONJ(type=coor)	en
getrouwe	AA(degree=pos,position=free)	getrouw
hine	PD(type=pers,position=free)+ADV(type=reg)	hij+ne
mochte	VRB(finiteness=fin,tense=past)	mogen
niet	ADV(type=reg)	niet
ontgaen	VRB(finiteness=inf)	ontgaan
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
sterken	AA(degree=pos,position=prenom)	sterk
venine	NOU-C(number=sg)	venijn
datti	CONJ(type=sub)+PD(type=pers,position=free)	dat+gij
gheswolgen	VRB(finiteness=pastpart)	zwelgen
heeft	VRB(finiteness=fin,tense=pres)	hebben
Ende	CONJ(type=coor)	en
dese	PD(type=d-p,subtype=oth,position=prenom)	deze
IIII	NUM(type=card,position=prenom,representation=rom)	vier
vroeden	NOU-C(number=pl)	vroed
en	ADV(type=reg)	ne
waren	VRB(finiteness=fin,tense=past)	zijn
dus	ADV(type=reg)	dus
niet	ADV(type=reg)	niet
doot	AA(degree=pos,position=free)	dood
bleven	VRB(finiteness=fin,tense=past)	blijven
en	ADV(type=reg)	ne
hadden	VRB(finiteness=fin,tense=past)	hebben
sy	PD(type=pers,position=free)	zij
gheen	PD(type=indef,subtype=oth,position=prenom)	geen
quaet	NOU-C(number=sg)	kwaad
ghesecht	VRB(finiteness=pastpart)	zeggen
van	ADP(type=pre)	van
sinen	PD(type=poss,position=prenom)	zijn
God	NOU-P	God
die	PD(type=d-p,position=free)	die
in	ADP(type=pre)	in
despite	NOU-C(number=sg)	despijt
van	ADP(type=pre)	van
hem	PD(type=pers,position=free)	hij
Sidracke	NOU-P	Sidracke
dooden	VRB(finiteness=inf)	doden
wouden	VRB(finiteness=fin,tense=past)	willen
$	PC	None
Alse	CONJ(type=sub)	als
God	NOU-P	God
dit	PD(type=d-p,subtype=oth,position=prenom)	dit
wonder	NOU-C(number=sg)	wonder
doer	ADP(type=pre)	door
Sidrac	NOU-P	Sidrac
dede	VRB(finiteness=fin,tense=past)	doen
soe	ADV(type=reg)	zo
keerden	VRB(finiteness=fin,tense=past)	keren
die	PD(type=d-p,subtype=art,position=prenom)	die
meesten	PD(type=indef,subtype=oth,position=prenom)	meest
deele	NOU-C(number=sg)	deel
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
volke	NOU-C(number=sg)	volk
ende	CONJ(type=coor)	en
gheloefden	VRB(finiteness=fin,tense=past)	geloven
aen	ADP(type=pre)	aan
Gode	NOU-P	God
met	ADP(type=pre)	met
groter	AA(degree=pos,position=prenom)	groot
bliscapen	NOU-C(number=sg)	blijdschap
Alse	CONJ(type=sub)	als
die	PD(type=d-p,subtype=art,position=prenom)	die
duvel	NOU-C(number=sg)	duvel
sach	VRB(finiteness=fin,tense=past)	zien
datti	CONJ(type=sub)+PD(type=pers,position=free)	dat+gij
hadde	VRB(finiteness=fin,tense=past)	hebben
gehadt	VRB(finiteness=pastpart)	hebben
dus	ADV(type=reg)	dus
groten	AA(degree=pos,position=prenom)	groot
anxt	NOU-C(number=sg)	angst
ende	CONJ(type=coor)	en
dus	ADV(type=reg)	dus
grooten	AA(degree=pos,position=prenom)	groot
scade	NOU-C(number=sg)	schade
soe	ADV(type=reg)	zo
voer	VRB(finiteness=fin,tense=past)	voeren
hy	PD(type=pers,position=free)	hij
ende	CONJ(type=coor)	en
andere	PD(type=indef,subtype=oth,position=prenom)	ander
ghesellen	NOU-C(number=pl)	gezel
in	ADP(type=pre)	in
andere	PD(type=indef,subtype=oth,position=prenom)	ander
afgode	NOU-C(number=sg)	afgod
die	PD(type=d-p,position=free)	die
noch	ADV(type=reg)	nog
niet	ADV(type=reg)	niet
te	ADP(type=pre)	te
broken	VRB(finiteness=inf)	breken
en	ADV(type=reg)	ne
waren	VRB(finiteness=fin,tense=past)	zijn
ende	CONJ(type=coor)	en
riepen	VRB(finiteness=fin,tense=past)	roepen
met	ADP(type=pre)	met
luder	AA(degree=pos,position=prenom)	luid
stemmen	NOU-C(number=sg)	stem
Coninc	NOU-C(number=sg)	koning
Bottus	NOU-P	Bottus
quade	AA(degree=pos,position=prenom)	kwaad
catijf	NOU-C(number=sg)	katijf
wat	PD(type=w-p,position=free)	wat
heeftu	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	hebben+du
gedaen	VRB(finiteness=pastpart)	doen
Du	PD(type=pers,position=free)	du
heefs	VRB(finiteness=fin,tense=pres)	hebben
gheloeft	VRB(finiteness=pastpart)	geloven
aen	ADP(type=pre)	aan
Sidracx	NOU-P	Sidracx
seggen	NOU-C(number=sg)	zeggen
ende	CONJ(type=coor)	en
an	ADP(type=pre)	aan
sine	PD(type=poss,position=prenom)	zijn
toverie	NOU-C(number=sg)	toverij
Du	PD(type=pers,position=free)	du
heves	VRB(finiteness=fin,tense=pres)	hebben
ons	PD(type=pers,position=free)	ons
vertegen	VRB(finiteness=pastpart)	vertijgen
ende	CONJ(type=coor)	en
wy	PD(type=pers,position=free)	wij
vertegen	VRB(finiteness=fin,tense=pres)	vertijgen
weder	ADV(type=reg)	weder
dine	PD(type=poss,position=prenom)	dijn
offerande	NOU-C(number=sg)	offerande
ende	CONJ(type=coor)	en
dy	PD(type=pers,position=free)	du
en	ADV(type=reg)	ne
willen	VRB(finiteness=fin,tense=pres)	willen
wy	PD(type=pers,position=free)	wij
nemmermeer	ADV(type=reg)	nimmermeer
ontfaen	VRB(finiteness=inf)	ontvangen
ende	CONJ(type=coor)	en
dine	PD(type=poss,position=prenom)	dijn
beesten	NOU-C(number=pl)	beest
selen	VRB(finiteness=fin,tense=pres)	zullen
wy	PD(type=pers,position=free)	wij
dooden	VRB(finiteness=inf)	doden
dine	PD(type=poss,position=prenom)	dijn
viande	NOU-C(number=pl)	vijand
selen	VRB(finiteness=fin,tense=pres)	zullen
wy	PD(type=pers,position=free)	wij
bringen	VRB(finiteness=inf)	brengen
boven	ADP(type=pre)	boven
dy	PD(type=pers,position=free)	du
van	ADP(type=pre)	van
dinen	PD(type=poss,position=prenom)	dijn
goede	NOU-C(number=sg)	goed
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
dinen	PD(type=poss,position=prenom)	dijn
conincrike	NOU-C(number=sg)	koninkrijk
selen	VRB(finiteness=fin,tense=pres)	zullen
wy	PD(type=pers,position=free)	wij
dy	PD(type=pers,position=free)	du
achter	VRB(finiteness=inf)	achteren
setten	VRB(finiteness=inf)	zetten
ende	CONJ(type=coor)	en
dine	PD(type=poss,position=prenom)	dijn
kindere	NOU-C(number=pl)	kind
ende	CONJ(type=coor)	en
dine	PD(type=poss,position=prenom)	dijn
vriende	NOU-C(number=pl)	vriend
selen	VRB(finiteness=fin,tense=pres)	zullen
wy	PD(type=pers,position=free)	wij
bederven	VRB(finiteness=inf)	bederven
ende	CONJ(type=coor)	en
dy	PD(type=d-p,position=free)	du
selven	PD(type=d-p,position=free)	zelf
selen	VRB(finiteness=fin,tense=pres)	zullen
wy	PD(type=pers,position=free)	wij
in	ADP(type=pre)	in
grooter	AA(degree=pos,position=prenom)	groot
scanden	NOU-C(number=sg)	schande
doen	VRB(finiteness=inf)	doen
sterven	VRB(finiteness=inf)	sterven
Ende	CONJ(type=coor)	en
wilt	VRB(finiteness=fin,tense=pres)	willen
du	PD(type=pers,position=free)	du
van	ADP(type=pre)	van
allen	PD(type=indef,position=free)	al
desen	PD(type=d-p,position=free)	deze
ontgaen	VRB(finiteness=inf)	ontgaan
soe	ADV(type=reg)	zo
wedersegge	VRB(finiteness=fin,tense=pres)	wederzeggen
dattu	CONJ(type=sub)+PD(type=pers,position=free)	dat+du
gheseit	VRB(finiteness=pastpart)	zeggen
heves	VRB(finiteness=fin,tense=pres)	hebben
ende	CONJ(type=coor)	en
doe	VRB(finiteness=fin,tense=pres)	doen
breken	VRB(finiteness=inf)	breken
dat	PD(type=d-p,subtype=art,position=prenom)	dat
erden	NOU-C(number=sg)	aarde
vat	NOU-C(number=sg)	vat
end	CONJ(type=coor)	en
worpt	VRB(finiteness=fin,tense=pres)	werpen
onder	ADP(type=pre)	onder
dinen	PD(type=poss,position=prenom)	dijn
voet	NOU-C(number=sg)	voet
want	CONJ(type=coor)	want
het	PD(type=pers,position=free)	het
es	VRB(finiteness=fin,tense=pres)	zijn
al	PD(type=indef,position=free)	al
betovert	VRB(finiteness=pastpart)	betoveren
vander	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
toverien	NOU-C(number=sg)	toverij
Sidracx	NOU-P	Sidracx
Ende	CONJ(type=coor)	en
doe	ADV(type=reg)	toen
Sidracke	NOU-P	Sidracke
verbernen	VRB(finiteness=fin,tense=pres)	verbranden
den	PD(type=d-p,subtype=art,position=prenom)	de
toverare	NOU-C(number=sg)	toveraar
ende	CONJ(type=coor)	en
thoeft	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	dat+hoofd
af	VRB(finiteness=inf)	afvangen
slaen	VRB(finiteness=inf)	slaan
die	PD(type=d-p,position=free)	die
u	PD(type=pers,position=free)	u
gheworpen	VRB(finiteness=pastpart)	werpen
heeft	VRB(finiteness=fin,tense=pres)	hebben
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
goeden	AA(degree=pos,position=prenom)	goed
ghelove	NOU-C(number=sg)	geloof
uus	PD(type=poss,position=prenom)	gij
vaders	NOU-C(number=sg)	vader
ende	CONJ(type=coor)	en
uwer	PD(type=poss,position=prenom)	u
vorders	NOU-C(number=pl)	voorder
$	PC	None
Alse	CONJ(type=sub)	als
die	PD(type=d-p,subtype=art,position=prenom)	die
coninc	NOU-C(number=sg)	koning
ende	CONJ(type=coor)	en
sine	PD(type=poss,position=prenom)	zijn
liede	NOU-C(number=pl)	lieden
dit	PD(type=d-p,position=free)	dit
hoerden	VRB(finiteness=fin,tense=past)	hoeren
soe	ADV(type=reg)	zo
waren	VRB(finiteness=fin,tense=past)	zijn
sy	PD(type=pers,position=free)	zij
herde	ADV(type=reg)	hard
zere	ADV(type=reg)	zeer
verveert	AA(degree=pos,position=free)	vervaard
ende	CONJ(type=coor)	en
beducht	AA(degree=pos,position=free)	beducht
Alse	CONJ(type=sub)	als
Sidrac	NOU-P	Sidrac
dat	PD(type=d-p,position=free)	dat
sach	VRB(finiteness=fin,tense=past)	zien
was	VRB(finiteness=fin,tense=past)	zijn
hy	PD(type=pers,position=free)	hij
herde	ADV(type=reg)	hard
gram	AA(degree=pos,position=free)	gram
ende	CONJ(type=coor)	en
seide	VRB(finiteness=fin,tense=past)	zeggen
Coninc	NOU-C(number=sg)	koning
Bottus	NOU-P	Bottus
hout	VRB(finiteness=fin,tense=pres)	houden
vaste	VRB(finiteness=fin,tense=pres)	vasten
dijn	PD(type=poss,position=prenom)	dijn
herte	NOU-C(number=sg)	hart
ende	CONJ(type=coor)	en
dijn	PD(type=poss,position=prenom)	dijn
ghelove	NOU-C(number=sg)	geloof
in	ADP(type=pre)	in
Gode	NOU-P	God
ende	CONJ(type=coor)	en
hoet	VRB(finiteness=fin,tense=pres)	hoeden
u	PD(type=pers,position=free)	u
datti	CONJ(type=sub)+PD(type=pers,position=free)	dat+gij
die	PD(type=d-p,subtype=art,position=prenom)	die
behendicheit	NOU-C(number=sg)	behendigheid
des	PD(type=d-p,subtype=art,position=prenom)	de
duvels	NOU-C(number=sg)	duvel
niet	ADV(type=reg)	niet
en	ADV(type=reg)	ne
verwinnet	VRB(finiteness=fin,tense=pres)	verwinnen
want	CONJ(type=coor)	want
metter	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	met+de
macht	NOU-C(number=sg)	macht
Goids	NOU-P	God
van	ADP(type=pre)	van
hemelrike	NOU-C(number=sg)	hemelrijk
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
eerterike	NOU-C(number=sg)	aardrijk
soe	ADV(type=reg)	zo
sal	VRB(finiteness=fin,tense=pres)	zullen
ic	PD(type=pers,position=free)	ik
verwinnen	VRB(finiteness=inf)	verwinnen
den	PD(type=d-p,subtype=art,position=prenom)	de
duvel	NOU-C(number=sg)	duvel
ende	CONJ(type=coor)	en
sine	PD(type=poss,position=prenom)	zijn
macht	NOU-C(number=sg)	macht
Doen	ADV(type=reg)	toen
nam	VRB(finiteness=fin,tense=past)	nemen
hij	PD(type=pers,position=free)	hij
een	PD(type=indef,subtype=art,position=prenom)	een
bijl	NOU-C(number=sg)	bijl
ende	CONJ(type=coor)	en
ginc	VRB(finiteness=fin,tense=past)	gaan
daer	ADV(type=reg)	daar
die	PD(type=d-p,subtype=art,position=prenom)	die
afgode	NOU-C(number=sg)	afgod
stonden	VRB(finiteness=fin,tense=past)	staan
ende	CONJ(type=coor)	en
seide	VRB(finiteness=fin,tense=past)	zeggen
Ic	PD(type=pers,position=free)	ik
sal	VRB(finiteness=fin,tense=pres)	zullen
u	PD(type=pers,position=free)	u
breken	VRB(finiteness=inf)	breken
ende	CONJ(type=coor)	en
u	PD(type=pers,position=free)	u
duvele	NOU-C(number=sg)	duivel
henen	VRB(finiteness=inf)	heendwalen
jagen	VRB(finiteness=inf)	jagen
bider	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	bij+de
macht	NOU-C(number=sg)	macht
van	ADP(type=pre)	van
Gode	NOU-P	God
van	ADP(type=pre)	van
hemelrike	NOU-C(number=sg)	hemelrijk
Ende	CONJ(type=coor)	en
sloech	VRB(finiteness=fin,tense=past)	slaan
de	PD(type=d-p,subtype=art,position=prenom)	de
afgode	NOU-C(number=sg)	afgod
dat	CONJ(type=sub)	dat
sy	PD(type=pers,position=free)	zij
stucken	NOU-C(number=pl)	stuk
braken	VRB(finiteness=fin,tense=past)	breken
Alse	CONJ(type=sub)	als
dit	PD(type=d-p,position=free)	dit
de	PD(type=d-p,subtype=art,position=prenom)	de
duvel	NOU-C(number=sg)	duvel
sach	VRB(finiteness=fin,tense=past)	zien
soe	ADV(type=reg)	zo
moesti	VRB(finiteness=fin,tense=past)+PD(type=pers,position=free)	moeten+gij
henen	VRB(finiteness=inf)	heendwalen
varen	VRB(finiteness=inf)	varen
hy	PD(type=pers,position=free)	hij
entie	CONJ(type=coor)+PD(type=d-p,subtype=art,position=prenom)	en+de
sine	NOU-C(number=pl)	zijne
ende	CONJ(type=coor)	en
gaven	VRB(finiteness=fin,tense=past)	geven
ene	PD(type=indef,subtype=art,position=prenom)	een
stemme	NOU-C(number=sg)	stem
soe	ADV(type=reg)	zo
verveerlijc	AA(degree=pos,position=free)	vervaarlijk
ende	CONJ(type=coor)	en
soe	ADV(type=reg)	zo
vreselijc	AA(degree=pos,position=free)	vreselijk
dat	CONJ(type=sub)	dat
al	PD(type=indef,position=free)	al
tebarenteerde	ADP(type=pre)+VRB(finiteness=inf)	te+barenteren
dat	PD(type=d-p,position=free)	dat
ginder	ADV(type=reg)	ginder
was	VRB(finiteness=fin,tense=past)	zijn
Doen	ADV(type=reg)	toen
quam	VRB(finiteness=fin,tense=past)	komen
een	PD(type=indef,subtype=art,position=prenom)	een
groot	AA(degree=pos,position=prenom)	groot
verveerlijc	AA(degree=pos,position=prenom)	vervaarlijk
luut	NOU-C(number=sg)	luid
uter	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	uiter
erden	NOU-C(number=sg)	aarde
mits	ADP(type=pre)	mits
der	PD(type=d-p,subtype=art,position=prenom)	de
subtijlheit	NOU-C(number=sg)	subtielheid
des	PD(type=d-p,subtype=art,position=prenom)	de
duvels	NOU-C(number=sg)	duvel
alsoe	ADV(type=reg)	alzo
dat	CONJ(type=sub)	dat
hem	PD(type=pers,position=free)	hij
dochte	VRB(finiteness=fin,tense=past)	deugen
dat	CONJ(type=sub)	dat
al	PD(type=indef,position=free)	al
tlant	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	dat+land
verberren	VRB(finiteness=inf)	verbranden
soude	VRB(finiteness=fin,tense=past)	zullen
van	ADP(type=pre)	van
den	PD(type=d-p,subtype=art,position=prenom)	de
grooten	AA(degree=pos,position=prenom)	groot
blixeme	NOU-C(number=sg)	bliksem
ende	CONJ(type=coor)	en
dondere	NOU-C(number=sg)	donder
ende	CONJ(type=coor)	en
dochtem	VRB(finiteness=fin,tense=past)+PD(type=pers,position=free)	dunken+hij
dat	CONJ(type=sub)	dat
al	PD(type=indef,position=free)	al
die	PD(type=d-p,subtype=art,position=prenom)	die
werelt	NOU-C(number=sg)	wereld
verdrincken	VRB(finiteness=inf)	verdrinken
soude	VRB(finiteness=fin,tense=past)	zullen
ter	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	ter
stede	NOU-C(number=sg)	stede
$	PC	None
Alse	CONJ(type=sub)	als
die	PD(type=d-p,subtype=art,position=prenom)	die
coninc	NOU-C(number=sg)	koning
dit	PD(type=d-p,position=free)	dit
sach	VRB(finiteness=fin,tense=past)	zien
haddi	VRB(finiteness=fin,tense=past)+PD(type=pers,position=free)	hebben+hij
grooten	AA(degree=pos,position=prenom)	groot
anxt	NOU-C(number=sg)	angst
ende	CONJ(type=coor)	en
sine	PD(type=poss,position=prenom)	zijn
liede	NOU-C(number=pl)	lieden
Sidrac	NOU-P	Sidrac
seide	VRB(finiteness=fin,tense=past)	zeggen
hem	PD(type=pers,position=free)	hij
En	ADV(type=reg)	ne
versaecht	VRB(finiteness=fin,tense=pres)	versagen
u	PD(type=pers,position=free)	u
niet	ADV(type=reg)	niet
want	CONJ(type=coor)	want
die	PD(type=d-p,subtype=art,position=prenom)	die
macht	NOU-C(number=sg)	macht
Goids	NOU-P	God
es	VRB(finiteness=fin,tense=pres)	zijn
mere	PD(type=indef,position=free)	meer
dan	CONJ(type=sub)	dan
de	PD(type=d-p,subtype=art,position=prenom)	de
macht	NOU-C(number=sg)	macht
des	PD(type=d-p,subtype=art,position=prenom)	de
duvels	NOU-C(number=sg)	duvel
Ghetroest	VRB(finiteness=pastpart)	getroosten
u	PD(type=pers,position=free)	u
wy	PD(type=pers,position=free)	wij
selen	VRB(finiteness=fin,tense=pres)	zullen
saen	ADV(type=reg)	zaan
hebben	VRB(finiteness=inf)	hebben
de	PD(type=d-p,subtype=art,position=prenom)	de
gracie	NOU-C(number=sg)	gratie
Goids	NOU-P	God
ende	CONJ(type=coor)	en
alle	PD(type=indef,position=free)	al
de	PD(type=d-p,position=free)	de
ghene	PD(type=d-p,position=free)	gene
die	PD(type=d-p,position=free)	die
in	ADP(type=pre)	in
hem	PD(type=pers,position=free)	hij
gheloven	VRB(finiteness=fin,tense=pres)	geloven
$	PC	None
Doen	ADV(type=reg)	toen
quam	VRB(finiteness=fin,tense=past)	komen
een	PD(type=indef,subtype=art,position=prenom)	een
ingel	NOU-C(number=sg)	engel
uten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	uit+dat
hemele	NOU-C(number=sg)	hemel
met	ADP(type=pre)	met
groten	AA(degree=pos,position=prenom)	groot
lichte	NOU-C(number=sg)	licht
ende	CONJ(type=coor)	en
seide	VRB(finiteness=fin,tense=past)	zeggen
tote	ADP(type=pre)	tot
Sidracke	NOU-P	Sidracke
Nem	VRB(finiteness=fin,tense=pres)	nemen
dat	PD(type=d-p,subtype=art,position=prenom)	dat
water	NOU-C(number=sg)	water
in	ADP(type=pre)	in
dat	PD(type=d-p,subtype=art,position=prenom)	dat
eerden	NOU-C(number=sg)	aarde
vat	NOU-C(number=sg)	vat
ende	CONJ(type=coor)	en
doet	VRB(finiteness=fin,tense=pres)	doen
dat	PD(type=d-p,position=free)	dat
worpen	VRB(finiteness=inf)	werpen
te	ADP(type=pre)	te
IIII	NUM(type=card,position=prenom,representation=rom)	vier
horeken	NOU-C(number=sg)	hoortje
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
here	NOU-C(number=sg)	heer
inden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
name	NOU-C(number=sg)	naam
Goids	NOU-P	God
sceppers	NOU-C(number=sg)	schepper
hemelrijcx	NOU-C(number=sg)	hemelrijk
ende	CONJ(type=coor)	en
eerterijcx	NOU-C(number=sg)	aardrijk
ende	CONJ(type=coor)	en
kerstenheits	NOU-C(number=sg)	kerstenheid
ende	CONJ(type=coor)	en
nem	VRB(finiteness=fin,tense=pres)	nemen
twee	NUM(type=card,position=free,representation=let)	twee
vanden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	van+de
houten	NOU-C(number=pl)	hout
ende	CONJ(type=coor)	en
slae	VRB(finiteness=fin,tense=pres)	slaan
deen	PD(type=d-p,subtype=art,position=prenom)+NUM(type=card,position=free,representation=let)	de+een
op	ADP(type=pre)	op
dander	PD(type=d-p,subtype=art,position=prenom)+NUM(type=ord,position=free,representation=let)	de+ander
inden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
name	NOU-C(number=sg)	naam
des	PD(type=d-p,subtype=art,position=prenom)	de
almechtich	AA(degree=pos,position=prenom)	almachtig
Goids	NOU-P	God
entie	CONJ(type=coor)+PD(type=d-p,subtype=art,position=prenom)	en+de
duvele	NOU-C(number=sg)	duivel
ende	CONJ(type=coor)	en
sine	PD(type=poss,position=prenom)	zijn
macht	NOU-C(number=sg)	macht
selen	VRB(finiteness=fin,tense=pres)	zullen
al	ADV(type=reg)	al
verwonnen	VRB(finiteness=pastpart)	verwinnen
sijn	VRB(finiteness=inf)	zijn
Doe	ADV(type=reg)	toen
voer	ADP(type=pre)	voor
dingel	NOU-C(number=sg)	dengel
en	CONJ(type=coor)	en
wege	NOU-C(number=sg)	weg
ende	CONJ(type=coor)	en
Sydrac	NOU-P	Sydrac
dede	VRB(finiteness=fin,tense=past)	doen
dat	CONJ(type=sub)	dat
men	PD(type=pers,position=free)	men
hem	PD(type=pers,position=free)	hij
hiet	VRB(finiteness=fin,tense=pres)	heten
ende	CONJ(type=coor)	en
de	PD(type=d-p,subtype=art,position=prenom)	de
tempeeste	NOU-C(number=sg)	tempeest
vergingen	VRB(finiteness=fin,tense=past)	vergaan
